Place,2020 Total Population,2010 Total Population,Percent Change
Dexter town,3803,3895,-2%
Dixfield town,2253,2550,-12%
Dixmont town,1211,1181,3%
Dover-Foxcroft town,4422,4213,5%
Dresden town,1725,1672,3%
Durham town,4173,3848,8%
Dyer Brook town,215,213,1%
Eagle Lake town,772,864,-11%
East Machias town,1326,1368,-3%
East Millinocket town,1572,1723,-9%
Eastbrook town,424,423,0%
Easton town,1320,1287,3%
Eastport city,1288,1331,-3%
Eddington town,2194,2225,-1%
Edgecomb town,1188,1249,-5%
Edinburg town,134,131,2%
Eliot town,6717,6204,8%
Ellsworth city,8399,7741,9%
Embden town,902,939,-4%
Enfield town,1435,1607,-11%
Etna town,1226,1246,-2%
Eustis town,641,618,4%
Exeter town,963,1092,-12%
Fairfield town,6484,6735,-4%
Falmouth town,12444,11185,11%
Farmingdale town,2995,2956,1%
Farmington town,7592,7760,-2%
Fayette town,1160,1140,2%
Fort Fairfield town,3322,3496,-5%
Fort Kent town,4067,4097,-1%
Frankfort town,1231,1124,10%
Franklin town,1567,1483,6%
Freedom town,711,719,-1%
Freeport town,8737,7879,11%
Frenchboro town,29,61,-52%
Frenchville town,1052,1087,-3%
Friendship town,1142,1152,-1%
Frye Island town,32,5,540%
Fryeburg town,3369,3449,-2%
Gardiner city,5961,5800,3%
Garland town,1026,1105,-7%
Georgetown town,1058,1042,2%
Gilead town,195,209,-7%
Glenburn town,4648,4594,1%
Gorham town,18336,16381,12%
Gouldsboro town,1703,1737,-2%
Grand Isle town,366,467,-22%
Gray town,8269,7761,7%
Great Pond town,61,58,5%
Greenbush town,1444,1491,-3%
Greene town,4376,4350,1%
Greenville town,1437,1646,-13%
Greenwood town,774,830,-7%
Guilford town,1267,1521,-17%
Hallowell city,2570,2381,8%
Hamlin town,166,219,-24%
Hammond town,91,118,-23%
Hampden town,7709,7257,6%
Hancock town,2466,2394,3%
Hanover town,286,238,20%
Harmony town,825,939,-12%
Harpswell town,5031,4740,6%
Harrington town,962,1004,-4%
Harrison town,2447,2730,-10%
Hartford town,1203,1185,2%
Hartland town,1705,1782,-4%
Haynesville town,97,121,-20%
Hebron town,1223,1416,-14%
Hermon town,6461,5416,19%
Hersey town,73,83,-12%
Hibberts gore,1,1,0%
Hiram town,1609,1620,-1%
Hodgdon town,1290,1309,-1%
Holden town,3277,3076,7%
Hollis town,4745,4281,11%
Hope town,1698,1536,11%
Houlton town,6055,6123,-1%
Howland town,1094,1241,-12%
Hudson town,1416,1536,-8%
Industry town,788,929,-15%
Island Falls town,758,837,-9%
Isle au Haut town,92,73,26%
Islesboro town,583,566,3%
Jackman town,782,862,-9%
Jackson town,610,548,11%
Jay town,4620,4851,-5%
Jefferson town,2551,2427,5%
Jonesboro town,579,583,-1%
Jonesport town,1245,1370,-9%
Kenduskeag town,1346,1348,0%
Kennebunk town,11536,10798,7%
Kennebunkport town,3629,3474,4%
Kingfield town,960,997,-4%
Kittery town,10070,9490,6%
Knox town,811,806,1%
Lagrange town,635,708,-10%
Lakeville town,104,105,-1%
Lamoine town,1720,1602,7%
Lebanon town,6469,6031,7%
Lee town,916,922,-1%
Leeds town,2262,2326,-3%
Levant town,2940,2851,3%
Lewiston city,37121,36592,1%
Liberty town,934,913,2%
Limerick town,3188,2892,10%
Limestone town,1526,2314,-34%
Limington town,3892,3713,5%
Lincoln town,4853,5085,-5%
Lincolnville town,2312,2164,7%
Linneus town,947,984,-4%
Lisbon town,9711,9009,8%
Litchfield town,3586,3624,-1%
Littleton town,997,1068,-7%
Livermore Falls town,3060,3187,-4%
Livermore town,2127,2095,2%
Long Island town,234,230,2%
Lovell town,1104,1140,-3%
Lowell town,368,358,3%
Lubec town,1237,1359,-9%
Ludlow town,434,404,7%
Lyman town,4525,4344,4%
Machias town,2060,2221,-7%
Machiasport town,962,1119,-14%
Madawaska town,3867,4035,-4%
Madison town,4726,4855,-3%
